"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HS","AS","HST","AST","HC","AC"
"104",2014-11-22,"M'gladbach","Ein Frankfurt","1","3","A",9,25,3,13,8,11
"105",2014-11-22,"Paderborn","Dortmund","2","2","D",8,13,4,5,1,6
"106",2014-11-22,"Schalke 04","Wolfsburg","3","2","H",9,17,6,2,2,7
"107",2014-11-23,"Hamburg","Werder Bremen","2","0","H",14,12,5,7,6,5
"108",2014-11-23,"Stuttgart","Augsburg","0","1","A",9,17,1,6,6,3
"109",2014-11-28,"Freiburg","Stuttgart","1","4","A",16,18,6,9,9,7
"110",2014-11-29,"Augsburg","Hamburg","3","1","H",13,9,8,3,4,4
"111",2014-11-29,"Hertha","Bayern Munich","0","1","A",4,15,1,5,2,3
"112",2014-11-29,"Hoffenheim","Hannover","4","3","H",16,13,7,5,5,3
"113",2014-11-29,"Leverkusen","FC Koln","5","1","H",25,5,10,1,7,3
"114",2014-11-29,"Schalke 04","Mainz","4","1","H",14,22,9,10,2,5
"115",2014-11-29,"Werder Bremen","Paderborn","4","0","H",24,15,13,4,9,6
"116",2014-11-30,"Ein Frankfurt","Dortmund","2","0","H",11,17,3,6,1,8
"117",2014-11-30,"Wolfsburg","M'gladbach","1","0","H",23,10,12,2,9,5
"118",2014-12-05,"Dortmund","Hoffenheim","1","0","H",19,6,6,1,8,3
"119",2014-12-06,"Bayern Munich","Leverkusen","1","0","H",9,3,3,1,8,3
"120",2014-12-06,"FC Koln","Augsburg","1","2","A",12,14,4,4,5,9
"121",2014-12-06,"Hannover","Wolfsburg","1","3","A",16,15,6,7,11,9
"122",2014-12-06,"M'gladbach","Hertha","3","2","H",13,11,10,3,4,3
"123",2014-12-06,"Paderborn","Freiburg","1","1","D",24,4,8,2,6,1
"124",2014-12-06,"Stuttgart","Schalke 04","0","4","A",13,13,3,6,4,6
"125",2014-12-07,"Ein Frankfurt","Werder Bremen","5","2","H",22,10,13,4,9,2
"126",2014-12-07,"Hamburg","Mainz","2","1","H",18,15,8,4,6,6
"127",2014-12-12,"Hoffenheim","Ein Frankfurt","3","2","H",20,19,8,7,4,6
"128",2014-12-13,"Augsburg","Bayern Munich","0","4","A",6,26,3,9,1,7
"129",2014-12-13,"Freiburg","Hamburg","0","0","D",10,10,4,1,4,2
"130",2014-12-13,"Hertha","Dortmund","1","0","H",5,18,3,5,2,9
"131",2014-12-13,"Mainz","Stuttgart","1","1","D",22,8,6,2,4,5
"132",2014-12-13,"Schalke 04","FC Koln","1","2","A",15,6,3,5,2,1
"133",2014-12-13,"Werder Bremen","Hannover","3","3","D",19,12,7,7,10,10
